code,cadence,fold,segment,start,end,n_periods,cagr,mdd,sharpe,calmar,trades,cost_total_pct,cost_ann_pct,total_return,years,n_rebal_invested
s1m,M,Fold1,IS,2014-01-01,2018-12-31,58,-0.058989943594967675,-0.5376250709466197,-0.2065844019165954,-0.10972320076350146,554,7.425000000000001,1.5374043367346941,-0.25445873737693814,4.829568788501026,46
s1m,M,Fold1,OOS,2019-01-01,2020-12-31,24,0.04862679479900045,-0.33568165457294463,0.22583432587117158,0.14485985199537826,310,3.875000000000001,1.9414866255144037,0.09940375467857043,1.995893223819302,24
s1m,M,Fold2,IS,2016-01-01,2020-12-31,60,-0.07360114551095631,-0.6012867532819923,-0.19920414298430983,-0.12240606517476153,744,9.3,1.8592364532019707,-0.3177840477778282,5.002053388090349,60
s1m,M,Fold2,OOS,2021-01-01,2022-12-31,24,-0.25622435209509453,-0.5218727455970003,-0.8370746711011119,-0.4909709392890115,284,3.5500000000000003,1.7762157534246579,-0.4465735695662998,1.998631074606434,24
s1m,M,Fold3,IS,2018-01-01,2022-12-31,60,-0.13299003885900995,-0.5936633536928585,-0.33096987424996804,-0.2240159141233005,716,8.95,1.790245071193866,-0.5100374842094826,4.999315537303217,60
s1m,M,Fold3,OOS,2023-01-01,2024-12-31,24,0.07602665827509303,-0.2951970363294111,0.3244304758184038,0.2575454659722759,248,3.1000000000000005,1.5468237704918035,0.15818184275146208,2.004106776180698,24
s1m,M,Fold4,IS,2020-01-01,2024-12-31,60,0.014683194692019619,-0.5599335068669211,0.1770459534198188,0.026223104193529464,680,8.500000000000002,1.6993021346469623,0.0756360195011494,5.002053388090349,60
s1m,M,Fold4,OOS,2025-01-01,2026-05-31,17,1.0539912826785032,-0.14263583616713016,2.3819140542341226,7.389386222993174,194,2.4250000000000003,1.7099058880308882,1.7754245517279035,1.4182067077344285,17
s1m,M,ALL_OOS,OOS,2019-01-01,2026-05-31,89,0.09465846164428271,-0.5599335068669212,0.3681629758373105,0.16905304019746772,1036,12.950000000000001,1.7460271317829457,0.9557948127152589,7.416837782340862,89
s1m,M,FULL,ALL,2015-01-01,2026-06-30,138,0.031214067537844725,-0.7203409355873763,0.19660742788872976,0.04333235277319389,1604,20.3,1.7653750000000004,0.423960122857024,11.498973305954825,136
s2m,M,Fold1,IS,2014-01-01,2018-12-31,58,-0.06932417137271463,-0.5128188446287407,-0.27916680270460037,-0.13518257392218574,584,9.05,1.8738732993197282,-0.2931782682698355,4.829568788501026,40
s2m,M,Fold1,OOS,2019-01-01,2020-12-31,24,-0.0686851036681917,-0.269755516851396,-0.25948130262789826,-0.2546198293547013,282,4.775,2.392412551440329,-0.13239906253413125,1.995893223819302,18
s2m,M,Fold2,IS,2016-01-01,2020-12-31,60,-0.127728734823901,-0.5939650932406135,-0.4871573985959759,-0.21504417730514422,760,11.750000000000002,2.349035303776683,-0.49518068360214695,5.002053388090349,51
s2m,M,Fold2,OOS,2021-01-01,2022-12-31,24,-0.2070596594276034,-0.4192923067148786,-0.9581541738529303,-0.4938312869365506,250,3.875000000000001,1.938827054794521,-0.3710458917619063,1.998631074606434,17
s2m,M,Fold3,IS,2018-01-01,2022-12-31,60,-0.1699513828267264,-0.6507381292117445,-0.6216211968274824,-0.26116708887581674,670,10.625000000000002,2.1252909364731654,-0.6059303187837191,4.999315537303217,46
s2m,M,Fold3,OOS,2023-01-01,2024-12-31,24,0.07387470442504496,-0.2951970363294112,0.3202902130157949,0.2502555762199725,260,3.5000000000000004,1.7464139344262295,0.15354447801572024,2.004106776180698,24
s2m,M,Fold4,IS,2020-01-01,2024-12-31,60,-0.026270730107356588,-0.473096386482044,0.04266566557984585,-0.05552934002034208,626,9.325,1.8642344006568143,-0.12467892761989574,5.002053388090349,49
s2m,M,Fold4,OOS,2025-01-01,2026-05-31,17,0.42354599519080893,-0.14550086141460505,1.2841013265220753,2.910951805184944,194,3.175,2.2387427606177606,0.6501084778422459,1.4182067077344285,13
s2m,M,ALL_OOS,OOS,2019-01-01,2026-05-31,89,0.0051312015780304865,-0.4730963864820439,0.11145763782903008,0.010845996132386944,986,15.325000000000003,2.06624446290144,0.0386896664351668,7.416837782340862,72
s2m,M,FULL,ALL,2015-01-01,2026-06-30,138,-0.028796199720590665,-0.7494797822002037,-0.01397549450449175,-0.0384215830826755,1590,24.625000000000004,2.141495535714286,-0.285368230587567,11.498973305954825,113
s3m,M,Fold1,IS,2014-01-01,2018-12-31,58,-0.01091195429956926,-0.38377093026538567,-0.12719791191401783,-0.02843350926038982,478,7.725,1.5995216836734696,-0.051610193579007646,4.829568788501026,29
s3m,M,Fold1,OOS,2019-01-01,2020-12-31,24,0.03480167290737457,-0.16184880695016024,0.16445468303649585,0.2150258229465442,188,3.6000000000000005,1.8037037037037038,0.07066407200988634,1.995893223819302,11
